Date,transactions
2013-06-26,"[{'amount': 1337, 'dt': Timestamp('2013-06-26 20:00:00+0000', tz='UTC'), 'price': 14.227110000000001, 'order_id': '30f91414051945bebf2cc099bf42243f', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -57, 'dt': Timestamp('2013-06-26 20:00:00+0000', tz='UTC'), 'price': 14.21289, 'order_id': '9bf0f8aae0324750b366c67040567e9a', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-06-27,"[{'amount': 72, 'dt': Timestamp('2013-06-27 20:00:00+0000', tz='UTC'), 'price': 14.06703, 'order_id': '46a167e7799144e2ae70ff6aa8cf23db', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1337, 'dt': Timestamp('2013-06-27 20:00:00+0000', tz='UTC'), 'price': 14.05297, 'order_id': 'e35e7c871d2f4281b1ece6a53be56485', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-06-28,"[{'amount': 1350, 'dt': Timestamp('2013-06-28 20:00:00+0000', tz='UTC'), 'price': 14.16708, 'order_id': '6963f69da0ac454e85d7ddcce0198add', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -72, 'dt': Timestamp('2013-06-28 20:00:00+0000', tz='UTC'), 'price': 14.15292, 'order_id': 'a9b15757ad0f437a809d220c1099a206', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-07-01,"[{'amount': 62, 'dt': Timestamp('2013-07-01 20:00:00+0000', tz='UTC'), 'price': 14.617305, 'order_id': 'd6239b03a96d40d8a9d9522593895e12', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1350, 'dt': Timestamp('2013-07-01 20:00:00+0000', tz='UTC'), 'price': 14.602694999999999, 'order_id': '4f59733bd5dc4ff98ece8afc4d741098', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-07-02,"[{'amount': -62, 'dt': Timestamp('2013-07-02 20:00:00+0000', tz='UTC'), 'price': 14.942525000000002, 'order_id': 'd67f34a3a91c43e08a00a0d86cff2f15', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-07-03,[]
2013-07-05,[]
2013-07-08,[]
2013-07-09,[]
2013-07-10,[]
2013-07-11,[]
2013-07-12,[]
2013-07-15,[]
2013-07-16,[]
2013-07-17,[]
2013-07-18,[]
2013-07-19,[]
2013-07-22,[]
2013-07-23,[]
2013-07-24,[]
2013-07-25,[]
2013-07-26,[]
2013-07-29,[]
2013-07-30,[]
2013-07-31,[]
2013-08-01,[]
2013-08-02,[]
2013-08-05,[]
2013-08-06,[]
2013-08-07,[]
2013-08-08,[]
2013-08-09,[]
2013-08-12,[]
2013-08-13,[]
2013-08-14,[]
2013-08-15,[]
2013-08-16,[]
2013-08-19,[]
2013-08-20,[]
2013-08-21,[]
2013-08-22,[]
2013-08-23,[]
2013-08-26,[]
2013-08-27,[]
2013-08-28,[]
2013-08-29,[]
2013-08-30,[]
2013-09-03,[]
2013-09-04,[]
2013-09-05,[]
2013-09-06,[]
2013-09-09,[]
2013-09-10,[]
2013-09-11,[]
2013-09-12,"[{'amount': 1204, 'dt': Timestamp('2013-09-12 20:00:00+0000', tz='UTC'), 'price': 16.88844, 'order_id': '489d8e4db4274e2aa4b7ebdb7441aa7e', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-09-13,"[{'amount': -12, 'dt': Timestamp('2013-09-13 20:00:00+0000', tz='UTC'), 'price': 16.591700000000003, 'order_id': '4aed51f9637f49d995ca34f29587875f', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1204, 'dt': Timestamp('2013-09-13 20:00:00+0000', tz='UTC'), 'price': 16.591700000000003, 'order_id': '9617bdc171f9486284a54d52b6458a92', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-09-16,"[{'amount': 1219, 'dt': Timestamp('2013-09-16 20:00:00+0000', tz='UTC'), 'price': 16.088040000000003, 'order_id': '1f68bd76936a45d6adb2a0b1fc492595', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': 12, 'dt': Timestamp('2013-09-16 20:00:00+0000', tz='UTC'), 'price': 16.088040000000003, 'order_id': 'ff5ed0cdd2184baea8f961065151b3ce', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-09-17,"[{'amount': 27, 'dt': Timestamp('2013-09-17 20:00:00+0000', tz='UTC'), 'price': 16.268130000000003, 'order_id': '4eb8399d69474fae89b3cbd089b157a3', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1219, 'dt': Timestamp('2013-09-17 20:00:00+0000', tz='UTC'), 'price': 16.25187, 'order_id': 'b92ab5d31b8e4ef6b282129e51a0984d', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-09-18,"[{'amount': 1208, 'dt': Timestamp('2013-09-18 20:00:00+0000', tz='UTC'), 'price': 16.6083, 'order_id': '2f5068bd55d64003a75b92a100179eb1', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -27, 'dt': Timestamp('2013-09-18 20:00:00+0000', tz='UTC'), 'price': 16.591700000000003, 'order_id': '7ed40b3871744e98b878bc7f0fc34db5', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-09-19,"[{'amount': -1208, 'dt': Timestamp('2013-09-19 20:00:00+0000', tz='UTC'), 'price': 16.861565000000002, 'order_id': 'cf46b5cde7f64e0fa2ee59562764a39e', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-09-20,[]
2013-09-23,[]
2013-09-24,[]
2013-09-25,[]
2013-09-26,[]
2013-09-27,[]
2013-09-30,[]
2013-10-01,[]
2013-10-02,[]
2013-10-03,[]
2013-10-04,[]
2013-10-07,[]
2013-10-08,[]
2013-10-09,[]
2013-10-10,[]
2013-10-11,[]
2013-10-14,[]
2013-10-15,[]
2013-10-16,[]
2013-10-17,[]
2013-10-18,[]
2013-10-21,[]
2013-10-22,[]
2013-10-23,[]
2013-10-24,[]
2013-10-25,[]
2013-10-28,[]
2013-10-29,[]
2013-10-30,[]
2013-10-31,[]
2013-11-01,[]
2013-11-04,[]
2013-11-05,[]
2013-11-06,[]
2013-11-07,[]
2013-11-08,[]
2013-11-11,[]
2013-11-12,[]
2013-11-13,[]
2013-11-14,[]
2013-11-15,[]
2013-11-18,[]
2013-11-19,[]
2013-11-20,[]
2013-11-21,"[{'amount': 1095, 'dt': Timestamp('2013-11-21 21:00:00+0000', tz='UTC'), 'price': 18.619305, 'order_id': 'f1030b46f31b476a9add5a74976cb7f2', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-11-22,"[{'amount': -1095, 'dt': Timestamp('2013-11-22 21:00:00+0000', tz='UTC'), 'price': 18.55072, 'order_id': '371cb0bc940543889855af580222fe96', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-11-25,[]
2013-11-26,[]
2013-11-27,[]
2013-11-29,[]
2013-12-02,[]
2013-12-03,[]
2013-12-04,[]
2013-12-05,[]
2013-12-06,[]
2013-12-09,[]
2013-12-10,[]
2013-12-11,[]
2013-12-12,[]
2013-12-13,[]
2013-12-16,[]
2013-12-17,[]
2013-12-18,[]
2013-12-19,[]
2013-12-20,[]
2013-12-23,[]
2013-12-24,[]
2013-12-26,[]
2013-12-27,[]
2013-12-30,[]
2013-12-31,[]
2014-01-02,[]
2014-01-03,[]
2014-01-06,"[{'amount': 1042, 'dt': Timestamp('2014-01-06 21:00:00+0000', tz='UTC'), 'price': 19.439715, 'order_id': 'd4798719031c43f9b7ac4b70e9c157fc', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-01-07,"[{'amount': -5, 'dt': Timestamp('2014-01-07 21:00:00+0000', tz='UTC'), 'price': 19.280355, 'order_id': 'e9f845937fa141fa8970b0f53873746d', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1042, 'dt': Timestamp('2014-01-07 21:00:00+0000', tz='UTC'), 'price': 19.280355, 'order_id': 'a2ad9162d4ac4e55966c3cefbba9ac0a', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-01-08,"[{'amount': 1047, 'dt': Timestamp('2014-01-08 21:00:00+0000', tz='UTC'), 'price': 19.419705, 'order_id': '9403fdf860634212ae889dbf98cdd259', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': 5, 'dt': Timestamp('2014-01-08 21:00:00+0000', tz='UTC'), 'price': 19.419705, 'order_id': '1306a7a685984a38856ddfea2cac4386', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-01-09,"[{'amount': -1047, 'dt': Timestamp('2014-01-09 21:00:00+0000', tz='UTC'), 'price': 19.15042, 'order_id': 'b7a740ee6e5e4a1ca627f531f2920a0f', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-01-10,"[{'amount': 1046, 'dt': Timestamp('2014-01-10 21:00:00+0000', tz='UTC'), 'price': 19.039515, 'order_id': '0a7fbdb7968949ddb1a745c1d360edbf', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-01-13,"[{'amount': 7, 'dt': Timestamp('2014-01-13 21:00:00+0000', tz='UTC'), 'price': 19.139564999999997, 'order_id': '723d9581e6794dbdba13e8a2da2834f5', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1046, 'dt': Timestamp('2014-01-13 21:00:00+0000', tz='UTC'), 'price': 19.120435, 'order_id': '2e875ade0b824f7ca542e81c6664db86', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-01-14,"[{'amount': -7, 'dt': Timestamp('2014-01-14 21:00:00+0000', tz='UTC'), 'price': 19.500245000000003, 'order_id': 'f1adb2a0899c4ed68577794d0aeacdb0', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-01-15,[]
2014-01-16,[]
2014-01-17,[]
2014-01-21,[]
2014-01-22,[]
2014-01-23,[]
2014-01-24,[]
2014-01-27,[]
2014-01-28,[]
2014-01-29,"[{'amount': 1109, 'dt': Timestamp('2014-01-29 21:00:00+0000', tz='UTC'), 'price': 17.888939999999998, 'order_id': '7e3c8be800ce4db7bc797dd06f05f29b', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-01-30,"[{'amount': 12, 'dt': Timestamp('2014-01-30 21:00:00+0000', tz='UTC'), 'price': 17.858925000000003, 'order_id': 'f92824c65b54413ba75e524e5d922af1', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1109, 'dt': Timestamp('2014-01-30 21:00:00+0000', tz='UTC'), 'price': 17.841075, 'order_id': 'f829d8e1351d4901ad0221d2a961b1b5', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-01-31,"[{'amount': 1111, 'dt': Timestamp('2014-01-31 21:00:00+0000', tz='UTC'), 'price': 17.888939999999998, 'order_id': 'e8d1fb6b0d004065ad3ac3a31bd06c32', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -12, 'dt': Timestamp('2014-01-31 21:00:00+0000', tz='UTC'), 'price': 17.87106, 'order_id': '0457f16740ca4c03af68c3bb56ea5862', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-02-03,"[{'amount': 10, 'dt': Timestamp('2014-02-03 21:00:00+0000', tz='UTC'), 'price': 17.918955, 'order_id': 'e93df98b0b5944b78248e109ef5dfd4b', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1111, 'dt': Timestamp('2014-02-03 21:00:00+0000', tz='UTC'), 'price': 17.901045, 'order_id': '8e0ffd43887b4c599ec3f25ef0201e71', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-02-04,"[{'amount': 1109, 'dt': Timestamp('2014-02-04 21:00:00+0000', tz='UTC'), 'price': 18.179085, 'order_id': '3255917668fc49059c21f49300957d0e', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -10, 'dt': Timestamp('2014-02-04 21:00:00+0000', tz='UTC'), 'price': 18.160915000000003, 'order_id': '12f0876148bc45ff98e3d267c67291d3', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-02-05,"[{'amount': -1109, 'dt': Timestamp('2014-02-05 21:00:00+0000', tz='UTC'), 'price': 18.300845, 'order_id': 'ca5a470a9a2d41a0a22b69bd2d64007e', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-02-06,[]
2014-02-07,[]
2014-02-10,[]
2014-02-11,[]
2014-02-12,[]
2014-02-13,[]
2014-02-14,[]
2014-02-18,[]
2014-02-19,[]
2014-02-20,[]
2014-02-21,[]
2014-02-24,[]
2014-02-25,[]
2014-02-26,[]
2014-02-27,[]
2014-02-28,[]
2014-03-03,[]
2014-03-04,[]
2014-03-05,[]
2014-03-06,[]
2014-03-07,[]
2014-03-10,[]
2014-03-11,[]
2014-03-12,[]
2014-03-13,[]
2014-03-14,[]
2014-03-17,[]
2014-03-18,[]
2014-03-19,[]
2014-03-20,[]
2014-03-21,[]
2014-03-24,[]
2014-03-25,[]
2014-03-26,[]
2014-03-27,[]
2014-03-28,[]
2014-03-31,[]
2014-04-01,[]
2014-04-02,[]
2014-04-03,[]
2014-04-04,[]
2014-04-07,[]
2014-04-08,"[{'amount': 1073, 'dt': Timestamp('2014-04-08 20:00:00+0000', tz='UTC'), 'price': 18.699345, 'order_id': '898f3116c07b4429ad20bb36cc1b4ad8', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-04-09,"[{'amount': 1, 'dt': Timestamp('2014-04-09 20:00:00+0000', tz='UTC'), 'price': 18.94947, 'order_id': '4d11c446cba8448885c5ddb79e6b100a', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1073, 'dt': Timestamp('2014-04-09 20:00:00+0000', tz='UTC'), 'price': 18.93053, 'order_id': '84a092a71cd742548fbe32f5809b2756', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-04-10,"[{'amount': -1, 'dt': Timestamp('2014-04-10 20:00:00+0000', tz='UTC'), 'price': 18.690649999999998, 'order_id': '9191206d82264e5fa350e50993556b91', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-04-11,[]
2014-04-14,"[{'amount': 1084, 'dt': Timestamp('2014-04-14 20:00:00+0000', tz='UTC'), 'price': 18.639315, 'order_id': 'ad520a7842654253bc1c8f8c42e0506a', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-04-15,"[{'amount': -1084, 'dt': Timestamp('2014-04-15 20:00:00+0000', tz='UTC'), 'price': 18.49075, 'order_id': '96b30ecf1aa64e70983ef350bf0598e1', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-04-16,"[{'amount': 1086, 'dt': Timestamp('2014-04-16 20:00:00+0000', tz='UTC'), 'price': 18.54927, 'order_id': '8d5e8a030f9a49a99de11c440d980851', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-04-17,"[{'amount': -1086, 'dt': Timestamp('2014-04-17 20:00:00+0000', tz='UTC'), 'price': 18.740625, 'order_id': '6efc9d25a7f04888b69f9d2f3f4b2802', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-04-21,[]
2014-04-22,[]
2014-04-23,[]
2014-04-24,[]
2014-04-25,[]
2014-04-28,[]
2014-04-29,[]
2014-04-30,[]
2014-05-01,[]
2014-05-02,[]
2014-05-05,[]
2014-05-06,[]
2014-05-07,[]
2014-05-08,[]
2014-05-09,[]
2014-05-12,[]
2014-05-13,[]
2014-05-14,[]
2014-05-15,[]
2014-05-16,[]
2014-05-19,[]
2014-05-20,[]
2014-05-21,[]
2014-05-22,[]
2014-05-23,[]
2014-05-27,[]
2014-05-28,[]
2014-05-29,[]
2014-05-30,[]
2014-06-02,[]
2014-06-03,[]
2014-06-04,[]
2014-06-05,[]
2014-06-06,[]
2014-06-09,[]
2014-06-10,[]
2014-06-11,[]
2014-06-12,[]
2014-06-13,[]
2014-06-16,[]
2014-06-17,[]
2014-06-18,[]
2014-06-19,[]
2014-06-20,[]
2014-06-23,[]
2014-06-24,[]
2014-06-25,[]
2014-06-26,[]
2014-06-27,[]
2014-06-30,[]
2014-07-01,[]
2014-07-02,[]
2014-07-03,[]
2014-07-07,[]
2014-07-08,[]
2014-07-09,[]
2014-07-10,[]
2014-07-11,[]
2014-07-14,[]
2014-07-15,[]
2014-07-16,[]
2014-07-17,[]
2014-07-18,[]
2014-07-21,[]
2014-07-22,[]
2014-07-23,[]
2014-07-24,[]
2014-07-25,[]
2014-07-28,[]
2014-07-29,[]
2014-07-30,[]
2014-07-31,[]
2014-08-01,[]
2014-08-04,[]
2014-08-05,[]
2014-08-06,[]
2014-08-07,[]
2014-08-08,[]
2014-08-11,[]
2014-08-12,[]
2014-08-13,[]
2014-08-14,[]
2014-08-15,[]
2014-08-18,[]
2014-08-19,[]
2014-08-20,[]
2014-08-21,[]
2014-08-22,[]
2014-08-25,[]
2014-08-26,[]
2014-08-27,[]
2014-08-28,[]
2014-08-29,[]
2014-09-02,[]
2014-09-03,[]
2014-09-04,[]
2014-09-05,[]
2014-09-08,[]
2014-09-09,[]
2014-09-10,[]
2014-09-11,[]
2014-09-12,[]
2014-09-15,[]
2014-09-16,[]
2014-09-17,[]
2014-09-18,[]
2014-09-19,[]
2014-09-22,[]
2014-09-23,[]
2014-09-24,[]
2014-09-25,[]
2014-09-26,"[{'amount': 822, 'dt': Timestamp('2014-09-26 20:00:00+0000', tz='UTC'), 'price': 25.202595000000002, 'order_id': '2386d0d1a6f245538db85e442f2784bb', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-09-29,"[{'amount': -822, 'dt': Timestamp('2014-09-29 20:00:00+0000', tz='UTC'), 'price': 25.017485, 'order_id': '17a231ac4fc44bcda11f1473e728be4e', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-09-30,[]
2014-10-01,[]
2014-10-02,[]
2014-10-03,[]
2014-10-06,[]
2014-10-07,[]
2014-10-08,[]
2014-10-09,[]
2014-10-10,[]
2014-10-13,[]
2014-10-14,[]
2014-10-15,[]
2014-10-16,"[{'amount': 824, 'dt': Timestamp('2014-10-16 20:00:00+0000', tz='UTC'), 'price': 24.082035, 'order_id': '83acdb63b0d84909a3ef4a9c549d7c7d', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-10-17,"[{'amount': 11, 'dt': Timestamp('2014-10-17 20:00:00+0000', tz='UTC'), 'price': 24.43221, 'order_id': '8ae800c4abb14018a764add40fe0c436', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -824, 'dt': Timestamp('2014-10-17 20:00:00+0000', tz='UTC'), 'price': 24.407790000000002, 'order_id': '334110d49040430f8d0eb64e1bb8d6be', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-10-20,"[{'amount': -11, 'dt': Timestamp('2014-10-20 20:00:00+0000', tz='UTC'), 'price': 24.92753, 'order_id': '80aad0597d4c4961aff554b9cb92e84a', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-10-21,[]
2014-10-22,[]
2014-10-23,[]
2014-10-24,[]
2014-10-27,[]
2014-10-28,[]
2014-10-29,[]
2014-10-30,[]
2014-10-31,[]
2014-11-03,[]
2014-11-04,[]
2014-11-05,[]
2014-11-06,[]
2014-11-07,[]
2014-11-10,[]
2014-11-11,[]
2014-11-12,[]
2014-11-13,[]
2014-11-14,[]
2014-11-17,[]
2014-11-18,[]
2014-11-19,[]
2014-11-20,[]
2014-11-21,[]
2014-11-24,[]
2014-11-25,[]
2014-11-26,[]
2014-11-28,[]
2014-12-01,[]
2014-12-02,[]
2014-12-03,[]
2014-12-04,[]
2014-12-05,[]
2014-12-08,[]
2014-12-09,[]
2014-12-10,[]
2014-12-11,[]
2014-12-12,[]
2014-12-15,"[{'amount': 735, 'dt': Timestamp('2014-12-15 21:00:00+0000', tz='UTC'), 'price': 27.07353, 'order_id': 'b21ff6dbc6a6401eb4fc5ee885cbd326', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2014-12-16,"[{'amount': 10, 'dt': Timestamp('2014-12-16 21:00:00+0000', tz='UTC'), 'price': 26.703345000000002, 'order_id': '75a24cc837da4817a482ec1da2c3b21d', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -735, 'dt': Timestamp('2014-12-16 21:00:00+0000', tz='UTC'), 'price': 26.676655, 'order_id': '15d40222db5b4842ac2ddeb7eb2f3f09', 'sid': Equity(2 [AAPL]), 'commission': None}]"
