Date,orders
2013-06-21,"[{'id': 'c27417d9f8c0497b87f8c9bbc340ef8a', 'dt': Timestamp('2013-06-21 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-06-20 20:00:00+0000', tz='UTC'), 'amount': 14, 'filled': 14, 'commission': 0.042, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6ea3ccd74dae4419a5d88bf142be6917', 'dt': Timestamp('2013-06-21 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-06-21 20:00:00+0000', tz='UTC'), 'amount': 9, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-06-24,"[{'id': '6ea3ccd74dae4419a5d88bf142be6917', 'dt': Timestamp('2013-06-24 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-06-21 20:00:00+0000', tz='UTC'), 'amount': 9, 'filled': 9, 'commission': 0.027, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5c9d51a73ede49e6935c3eadb2d30d08', 'dt': Timestamp('2013-06-24 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-06-24 20:00:00+0000', tz='UTC'), 'amount': 30, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-06-25,"[{'id': '5c9d51a73ede49e6935c3eadb2d30d08', 'dt': Timestamp('2013-06-25 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-06-24 20:00:00+0000', tz='UTC'), 'amount': 30, 'filled': 30, 'commission': 0.09, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}]"
2013-06-26,"[{'id': '3391368dd38f4db39a910af126e316b0', 'dt': Timestamp('2013-06-26 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-06-26 20:00:00+0000', tz='UTC'), 'amount': 12, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-06-27,"[{'id': '3391368dd38f4db39a910af126e316b0', 'dt': Timestamp('2013-06-27 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-06-26 20:00:00+0000', tz='UTC'), 'amount': 12, 'filled': 12, 'commission': 0.036000000000000004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}]"
2013-06-28,[]
2013-07-01,[]
2013-07-02,[]
2013-07-03,[]
2013-07-05,[]
2013-07-08,[]
2013-07-09,[]
2013-07-10,[]
2013-07-11,[]
2013-07-12,[]
2013-07-15,[]
2013-07-16,[]
2013-07-17,[]
2013-07-18,[]
2013-07-19,[]
2013-07-22,[]
2013-07-23,[]
2013-07-24,[]
2013-07-25,[]
2013-07-26,[]
2013-07-29,[]
2013-07-30,[]
2013-07-31,[]
2013-08-01,[]
2013-08-02,[]
2013-08-05,[]
2013-08-06,[]
2013-08-07,[]
2013-08-08,[]
2013-08-09,[]
2013-08-12,[]
2013-08-13,[]
2013-08-14,[]
2013-08-15,[]
2013-08-16,[]
2013-08-19,[]
2013-08-20,[]
2013-08-21,[]
2013-08-22,[]
2013-08-23,[]
2013-08-26,[]
2013-08-27,[]
2013-08-28,[]
2013-08-29,[]
2013-08-30,[]
2013-09-03,[]
2013-09-04,[]
2013-09-05,[]
2013-09-06,[]
2013-09-09,[]
2013-09-10,[]
2013-09-11,"[{'id': '84a03ebc1fb7474488c8f6e83e8c0a3a', 'dt': Timestamp('2013-09-11 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-09-11 20:00:00+0000', tz='UTC'), 'amount': -164, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-09-12,"[{'id': '84a03ebc1fb7474488c8f6e83e8c0a3a', 'dt': Timestamp('2013-09-12 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-09-11 20:00:00+0000', tz='UTC'), 'amount': -164, 'filled': -164, 'commission': 0.492, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '413a666e08664f4da3d78294ce9a9262', 'dt': Timestamp('2013-09-12 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-09-12 20:00:00+0000', tz='UTC'), 'amount': -11, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-09-13,"[{'id': '413a666e08664f4da3d78294ce9a9262', 'dt': Timestamp('2013-09-13 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-09-12 20:00:00+0000', tz='UTC'), 'amount': -11, 'filled': -11, 'commission': 0.033, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2f21d79ba0ea422a967284dc9559d4af', 'dt': Timestamp('2013-09-13 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-09-13 20:00:00+0000', tz='UTC'), 'amount': 16, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-09-16,"[{'id': '2f21d79ba0ea422a967284dc9559d4af', 'dt': Timestamp('2013-09-16 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-09-13 20:00:00+0000', tz='UTC'), 'amount': 16, 'filled': 16, 'commission': 0.048, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e8242fc6d8b342b287899eb1db1c91c6', 'dt': Timestamp('2013-09-16 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-09-16 20:00:00+0000', tz='UTC'), 'amount': 32, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-09-17,"[{'id': 'e8242fc6d8b342b287899eb1db1c91c6', 'dt': Timestamp('2013-09-17 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-09-16 20:00:00+0000', tz='UTC'), 'amount': 32, 'filled': 32, 'commission': 0.096, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}]"
2013-09-18,[]
2013-09-19,[]
2013-09-20,[]
2013-09-23,[]
2013-09-24,[]
2013-09-25,[]
2013-09-26,[]
2013-09-27,[]
2013-09-30,[]
2013-10-01,[]
2013-10-02,[]
2013-10-03,[]
2013-10-04,[]
2013-10-07,[]
2013-10-08,[]
2013-10-09,[]
2013-10-10,[]
2013-10-11,[]
2013-10-14,[]
2013-10-15,[]
2013-10-16,[]
2013-10-17,[]
2013-10-18,[]
2013-10-21,[]
2013-10-22,[]
2013-10-23,[]
2013-10-24,[]
2013-10-25,[]
2013-10-28,[]
2013-10-29,[]
2013-10-30,[]
2013-10-31,[]
2013-11-01,[]
2013-11-04,[]
2013-11-05,[]
2013-11-06,[]
2013-11-07,[]
2013-11-08,[]
2013-11-11,[]
2013-11-12,[]
2013-11-13,[]
2013-11-14,[]
2013-11-15,[]
2013-11-18,[]
2013-11-19,[]
2013-11-20,[]
2013-11-21,[]
2013-11-22,[]
2013-11-25,[]
2013-11-26,[]
2013-11-27,[]
2013-11-29,[]
2013-12-02,[]
2013-12-03,[]
2013-12-04,[]
2013-12-05,[]
2013-12-06,[]
2013-12-09,[]
2013-12-10,[]
2013-12-11,[]
2013-12-12,[]
2013-12-13,[]
2013-12-16,[]
2013-12-17,[]
2013-12-18,[]
2013-12-19,[]
2013-12-20,[]
2013-12-23,[]
2013-12-24,[]
2013-12-26,[]
2013-12-27,[]
2013-12-30,[]
2013-12-31,[]
2014-01-02,[]
2014-01-03,"[{'id': '1226a3ee4e864485bc502218fe0b8313', 'dt': Timestamp('2014-01-03 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-01-03 21:00:00+0000', tz='UTC'), 'amount': -169, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2014-01-06,"[{'id': '1226a3ee4e864485bc502218fe0b8313', 'dt': Timestamp('2014-01-06 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-01-03 21:00:00+0000', tz='UTC'), 'amount': -169, 'filled': -169, 'commission': 0.507, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}]"
2014-01-07,[]
2014-01-08,[]
2014-01-09,[]
2014-01-10,[]
2014-01-13,[]
2014-01-14,[]
2014-01-15,[]
2014-01-16,[]
2014-01-17,[]
2014-01-21,[]
2014-01-22,[]
2014-01-23,[]
2014-01-24,[]
2014-01-27,[]
2014-01-28,"[{'id': 'a99ed8ef38fe4525ad9eae4293ff8b2d', 'dt': Timestamp('2014-01-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-01-28 21:00:00+0000', tz='UTC'), 'amount': 59, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2014-01-29,"[{'id': 'a99ed8ef38fe4525ad9eae4293ff8b2d', 'dt': Timestamp('2014-01-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-01-28 21:00:00+0000', tz='UTC'), 'amount': 59, 'filled': 59, 'commission': 0.177, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '76ae0c566f4f4594889a0e8b23113ed1', 'dt': Timestamp('2014-01-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-01-29 21:00:00+0000', tz='UTC'), 'amount': 11, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2014-01-30,"[{'id': '76ae0c566f4f4594889a0e8b23113ed1', 'dt': Timestamp('2014-01-30 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-01-29 21:00:00+0000', tz='UTC'), 'amount': 11, 'filled': 11, 'commission': 0.033, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7b458180c2b64bb0821cb6a3de0d8652', 'dt': Timestamp('2014-01-30 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-01-30 21:00:00+0000', tz='UTC'), 'amount': 1, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2014-01-31,"[{'id': '7b458180c2b64bb0821cb6a3de0d8652', 'dt': Timestamp('2014-01-31 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-01-30 21:00:00+0000', tz='UTC'), 'amount': 1, 'filled': 1, 'commission': 0.003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}]"
2014-02-03,[]
2014-02-04,[]
2014-02-05,[]
2014-02-06,[]
2014-02-07,[]
2014-02-10,[]
2014-02-11,[]
2014-02-12,[]
2014-02-13,[]
2014-02-14,[]
2014-02-18,[]
2014-02-19,[]
2014-02-20,[]
2014-02-21,[]
2014-02-24,[]
2014-02-25,[]
2014-02-26,[]
2014-02-27,[]
2014-02-28,[]
2014-03-03,[]
2014-03-04,[]
2014-03-05,[]
2014-03-06,[]
2014-03-07,[]
2014-03-10,[]
2014-03-11,[]
2014-03-12,[]
2014-03-13,[]
2014-03-14,[]
2014-03-17,[]
2014-03-18,[]
2014-03-19,[]
2014-03-20,[]
2014-03-21,[]
2014-03-24,[]
2014-03-25,[]
2014-03-26,[]
2014-03-27,[]
2014-03-28,[]
2014-03-31,[]
2014-04-01,[]
2014-04-02,[]
2014-04-03,[]
2014-04-04,[]
2014-04-07,[]
2014-04-08,[]
2014-04-09,[]
2014-04-10,[]
2014-04-11,[]
2014-04-14,[]
2014-04-15,[]
2014-04-16,[]
2014-04-17,[]
2014-04-21,[]
2014-04-22,[]
2014-04-23,[]
2014-04-24,[]
2014-04-25,[]
2014-04-28,[]
2014-04-29,[]
2014-04-30,[]
2014-05-01,[]
2014-05-02,[]
2014-05-05,[]
2014-05-06,[]
2014-05-07,[]
2014-05-08,[]
2014-05-09,[]
2014-05-12,[]
2014-05-13,[]
2014-05-14,[]
2014-05-15,[]
2014-05-16,[]
2014-05-19,[]
2014-05-20,[]
2014-05-21,[]
2014-05-22,[]
2014-05-23,[]
2014-05-27,[]
2014-05-28,[]
2014-05-29,[]
2014-05-30,[]
2014-06-02,[]
2014-06-03,[]
2014-06-04,[]
2014-06-05,[]
2014-06-06,[]
2014-06-09,[]
2014-06-10,[]
2014-06-11,[]
2014-06-12,[]
2014-06-13,[]
2014-06-16,[]
2014-06-17,[]
2014-06-18,[]
2014-06-19,[]
2014-06-20,[]
2014-06-23,[]
2014-06-24,[]
2014-06-25,[]
2014-06-26,[]
2014-06-27,[]
2014-06-30,[]
2014-07-01,[]
2014-07-02,[]
2014-07-03,[]
2014-07-07,[]
2014-07-08,[]
2014-07-09,[]
2014-07-10,[]
2014-07-11,[]
2014-07-14,[]
2014-07-15,[]
2014-07-16,[]
2014-07-17,[]
2014-07-18,[]
2014-07-21,[]
2014-07-22,[]
2014-07-23,[]
2014-07-24,[]
2014-07-25,[]
2014-07-28,[]
2014-07-29,[]
2014-07-30,[]
2014-07-31,[]
2014-08-01,[]
2014-08-04,[]
2014-08-05,[]
2014-08-06,[]
2014-08-07,[]
2014-08-08,[]
2014-08-11,[]
2014-08-12,[]
2014-08-13,[]
2014-08-14,[]
2014-08-15,[]
2014-08-18,[]
2014-08-19,[]
2014-08-20,[]
2014-08-21,[]
2014-08-22,[]
2014-08-25,[]
2014-08-26,[]
2014-08-27,[]
2014-08-28,[]
2014-08-29,[]
2014-09-02,[]
2014-09-03,[]
2014-09-04,[]
2014-09-05,[]
2014-09-08,[]
2014-09-09,[]
2014-09-10,[]
2014-09-11,[]
2014-09-12,[]
2014-09-15,[]
2014-09-16,[]
2014-09-17,[]
2014-09-18,[]
2014-09-19,[]
2014-09-22,[]
2014-09-23,[]
2014-09-24,[]
2014-09-25,[]
2014-09-26,[]
2014-09-29,[]
2014-09-30,[]
2014-10-01,[]
2014-10-02,[]
2014-10-03,[]
2014-10-06,[]
2014-10-07,[]
2014-10-08,[]
2014-10-09,[]
2014-10-10,[]
2014-10-13,[]
2014-10-14,[]
2014-10-15,"[{'id': '6f1e9917d1af42e4bb3f0bdf388ea4b1', 'dt': Timestamp('2014-10-15 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-10-15 20:00:00+0000', tz='UTC'), 'amount': -249, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2014-10-16,"[{'id': '6f1e9917d1af42e4bb3f0bdf388ea4b1', 'dt': Timestamp('2014-10-16 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-10-15 20:00:00+0000', tz='UTC'), 'amount': -249, 'filled': -249, 'commission': 0.747, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0e27f5d0ce5349afa4cdcb70f1a61d73', 'dt': Timestamp('2014-10-16 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-10-16 20:00:00+0000', tz='UTC'), 'amount': 8, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2014-10-17,"[{'id': '0e27f5d0ce5349afa4cdcb70f1a61d73', 'dt': Timestamp('2014-10-17 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-10-16 20:00:00+0000', tz='UTC'), 'amount': 8, 'filled': 8, 'commission': 0.024, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}]"
2014-10-20,[]
2014-10-21,[]
2014-10-22,[]
2014-10-23,[]
2014-10-24,[]
2014-10-27,[]
2014-10-28,[]
2014-10-29,[]
2014-10-30,[]
2014-10-31,[]
2014-11-03,[]
2014-11-04,[]
2014-11-05,[]
2014-11-06,[]
2014-11-07,[]
2014-11-10,[]
2014-11-11,[]
2014-11-12,[]
2014-11-13,[]
2014-11-14,[]
2014-11-17,[]
2014-11-18,[]
2014-11-19,[]
2014-11-20,[]
2014-11-21,[]
2014-11-24,[]
2014-11-25,[]
2014-11-26,[]
2014-11-28,[]
2014-12-01,[]
2014-12-02,[]
2014-12-03,[]
2014-12-04,[]
2014-12-05,[]
2014-12-08,[]
2014-12-09,[]
2014-12-10,[]
2014-12-11,[]
2014-12-12,"[{'id': '3950f525c44f40e89d16f9ce3613ebf8', 'dt': Timestamp('2014-12-12 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-12-12 21:00:00+0000', tz='UTC'), 'amount': -90, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2014-12-15,"[{'id': '3950f525c44f40e89d16f9ce3613ebf8', 'dt': Timestamp('2014-12-15 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-12-12 21:00:00+0000', tz='UTC'), 'amount': -90, 'filled': -90, 'commission': 0.27, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd11ecd2d44e045f5acc6b69ab251f877', 'dt': Timestamp('2014-12-15 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2014-12-15 21:00:00+0000', tz='UTC'), 'amount': 8, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
